Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Cell adhesion molecules (CAMs),57/170,0.00015456105418278247,0.0014656493199131,0,0,1.8681424325368168,16.39280294783407,ITGB1;H2-T24;ITGB2;ICAM2;LRRC4;PTPRM;VSIR;ICAM1;CLDN22;CDH5;CDH4;CDH3;CDH2;MPZ;CLDN24;ITGB8;NRCAM;MADCAM1;ITGAV;ITGB7;CD34;ICOSL;CLDN5;VCAN;CLDN15;ITGA8;PECAM1;ITGA6;ITGA9;NLGN3;H2-M9;CD274;NLGN1;NLGN2;NRXN1;H2-M3;SDC3;NCAM1;LRRC4C;JAM2;LRRC4B;JAM3;NTNG1;NTNG2;CADM3;VCAM1;CADM1;SELE;H2-AA;SELP;CD4;CNTN2;ESAM;SIGLEC1;NECTIN3;H2-AB1;NECTIN1
KEGG_2019_Mouse,Hippo signaling pathway,54/159,0.00015667285833554325,0.0014656493199131,0,0,1.904283344055802,16.684094078843078,BMPR2;SERPINE1;ITGB2;FZD10;FGF1;GLI2;CCND2;RASSF2;RASSF4;CCN2;AMH;TEAD1;TEAD3;APC2;TRP73;AXIN2;WNT9A;FRMD6;LATS2;PARD3;AJUBA;YAP1;TCF7;PARD6G;NKD1;WNT6;WNT11;CTNNA1;CTNNA3;FZD1;WNT10B;SMAD1;WNT10A;FZD3;TCF7L1;FZD2;FZD7;FZD9;FZD8;GDF6;WTIP;BMP7;BMP6;SMAD7;BMP5;BMP4;DLG2;PPP2R2C;DLG4;PPP2R2B;SNAI2;DCHS1;FAT4;NF2
KEGG_2019_Mouse,Glycosaminoglycan biosynthesis,23/53,0.0002575115372996431,0.002333698306778,0,0,2.83161568627451,23.401735027725493,B4GALT2;HS3ST3B1;CHST7;HS3ST3A1;CSGALNACT2;HS6ST2;HS3ST1;EXT1;EXTL2;CHST11;CHSY1;CHST12;DSE;NDST3;UST;CHST15;B3GNT2;CHSY3;CHST14;B4GALT4;CHST2;ST3GAL2;CHST3
KEGG_2019_Mouse,Human papillomavirus infection,105/360,0.00027006199816765486,0.0023732721051096,0,0,1.5285085243310377,12.55953902852,MAML2;MAML1;ITGA2B;FZD10;RBPJ;COMP;CCND2;TNN;CREB3L2;AKT3;PRKACB;PDGFRB;MAGI1;COL4A2;COL4A1;PARD3;COL4A4;MFNG;COL4A3;COL4A6;COL4A5;MAML3;H2-M9;NOTCH4;TCF7;H2-M3;PIK3R2;VTN;WNT6;ATP6V0A4;FZD1;WNT10B;WNT10A;FZD3;FZD2;JAG1;FZD7;FZD9;FN1;FZD8;COL1A1;COL1A2;DLG2;ITGA11;MDM2;COL9A3;COL9A2;ITGB1;H2-T24;CDKN1A;LAMC3;ITGB3;PIK3CD;LAMC2;LAMC1;LFNG;HEY1;ITGB8;ITGAV;ITGB7;IKBKE;OASL2;APC2;ITGA3;ITGA2;ITGA1;TUBG2;WNT9A;AXIN2;TNFRSF1A;COL2A1;COL6A2;IRF1;COL6A1;COL6A4;ITGA8;ITGA7;COL6A6;ITGA6;COL6A5;ITGA5;IRF9;ITGA9;TNXB;LAMA2;LAMA1;LAMA4;LAMA3;PARD6G;PTGS2;THBS1;EGFR;THBS4;THBS3;RELN;WNT11;HES5;TCF7L1;LAMB3;LAMB2;STAT2;MX2;LAMB1;PPP2R2C;PPP2R2B
KEGG_2019_Mouse,Glycosphingolipid biosynthesis,20/45,0.00043775531825758095,0.003654365150002,0,0,2.953585704208794,22.842590091566475,B4GALT2;B3GALNT1;SEC1;HEXB;HEXA;FUT1;GGTA1;FUT9;B3GNT5;B3GALT1;B3GNT4;GCNT2;ST3GAL5;B3GNT2;ST3GAL6;ST6GALNAC4;A3GALT2;ST3GAL2;ST6GALNAC5;B4GALT4
KEGG_2019_Mouse,Morphine addiction,34/92,0.00044104406982783376,0.003654365150002,0,0,2.166849696171022,16.74187329073849,PDE1B;PDE1A;ADCY4;CACNA1B;ADCY3;CACNA1A;ADCY7;GNAI1;GNAI2;GABRR1;GNG10;GNGT2;GNG2;GRK5;GRK4;GNG4;PDE4B;ADORA1;GNG8;GABRE;PRKACB;PRKCG;KCNJ5;GABBR1;PDE4D;PDE2A;PRKCA;GNG11;GNG13;GNAO1;ADCY9;PDE10A;PDE3A;PDE7B
KEGG_2019_Mouse,Glutamatergic synapse,40/114,0.0005036023920946713,0.0040567970474292,0,0,1.998837959149795,15.178622794712966,ITPR1;GRIK3;ADCY4;SLC1A3;CACNA1A;GRIK4;ADCY3;CACNA1D;CACNA1C;SLC1A6;PLD1;ADCY7;GNAI1;GLS;GNAI2;GNG10;GNGT2;GNG2;GNG4;GNG8;DLGAP1;SLC17A7;PRKACB;SLC38A2;GRIA3;GRIA4;PRKCG;HOMER1;TRPC1;PRKCA;GRIN2C;GNG11;GNG13;GNAO1;GRIN3B;ADCY9;DLG4;PLCB1;SHANK3;SHANK1
KEGG_2019_Mouse,AGE-RAGE signaling pathway in diabetic complications,35/101,0.0014037493029027,0.0110023594011297,0,0,1.9596686544539303,12.872296275889592,SERPINE1;PIK3CD;PIK3R2;ICAM1;AKT3;CCL2;PLCG1;EGR1;VCAM1;NOS3;PRKCE;MMP2;FN1;CYBB;VEGFC;PRKCA;NFATC1;VEGFD;SELE;COL1A1;MAPK10;IL6;COL3A1;COL1A2;COL4A2;COL4A1;COL4A4;COL4A3;COL4A6;BCL2;COL4A5;NOX4;PLCB1;PLCD4;PLCD1
KEGG_2019_Mouse,Cholesterol metabolism,20/49,0.0016090677352252,0.0122797274530346,0,0,2.545545943228715,16.373206861103956,ABCA1;MYLIP;ABCG8;LRPAP1;ABCG5;LRP1;OSBPL5;PCSK9;LCAT;LRP2;CYP27A1;NCEH1;NPC1;SOAT1;APOC2;LIPG;APOC1;ANGPTL4;APOE;PLTP
KEGG_2019_Mouse,Fluid shear stress and atherosclerosis,46/143,0.0016858939874255,0.0125361347782929,0,0,1.7535284950209624,11.197084835535415,PRKAA1;BMPR2;NCF1;ITGB3;ITGA2B;PDGFA;PIK3CD;CALML3;PLAT;GSTT1;PIK3R2;CALML4;ICAM1;CDH5;NPPC;CTSL;GPC1;AKT3;KDR;HMOX1;CCL2;ITGAV;MAP2K6;ACVR1;MEF2A;NQO1;MEF2C;GSTM2;VCAM1;GSTM1;CAV3;DUSP1;NOS3;IL1R2;CAV1;MMP2;SELE;TNFRSF1A;BMP4;MAPK10;TRPV4;BCL2;PECAM1;CALM2;GSTM5;NFE2L2
KEGG_2019_Mouse,Regulation of actin cytoskeleton,65/217,0.001777658401589,0.0127782075756517,0,0,1.5827856088653192,10.022923842933324,ITGB1;CHRM3;CHRM1;CHRM4;ITGB3;ITGA2B;ITGB2;PIK3CD;FGF1;FGF2;MYLK;FGF9;CFL2;BDKRB2;PIP4K2A;ITGB8;ITGAV;ITGB7;VAV3;APC2;PDGFRB;ARHGEF12;PPP1R12A;ITGA3;ACTN1;ITGA2;F2R;ITGA1;TIAM1;ITGA8;ARHGEF4;ITGA7;ITGA6;ITGA5;PPP1R12B;MYL9;VCL;ITGA9;PDGFA;PIK3R2;LPAR4;EGFR;SLC9A1;RRAS;PDGFC;PAK3;MYH10;FGF23;FGF21;GSN;LIMK2;FN1;MSN;SSH1;FGF17;DIAPH2;CXCL12;LPAR5;ABI2;ITGA11;FGF18;FGFR4;FGFR3;FGFR2;FGFR1
KEGG_2019_Mouse,Basal cell carcinoma,24/63,0.0018065741744886,0.0127782075756517,0,0,2.272100222676829,14.351318777653043,APC2;FZD1;WNT10B;CDKN1A;WNT10A;TCF7L1;FZD3;FZD2;HHIP;FZD7;TCF7;PTCH2;FZD9;FZD8;FZD10;AXIN2;WNT9A;GLI1;KIF7;GLI3;GLI2;BMP4;WNT6;WNT11
KEGG_2019_Mouse,Small cell lung cancer,32/92,0.0020525276418683,0.0141722146700431,0,0,1.9702271476852944,12.193111746223384,ITGB1;CDKN1A;LAMA2;LAMC3;LAMA1;LAMA4;ITGA2B;LAMA3;PIK3CD;LAMC2;PIK3R2;LAMC1;PTGS2;FHIT;AKT3;ITGAV;LAMB3;ITGA3;LAMB2;ITGA2;FN1;LAMB1;COL4A2;COL4A1;COL4A4;COL4A3;TRAF5;COL4A6;BCL2;RARB;COL4A5;ITGA6
KEGG_2019_Mouse,Estrogen signaling pathway,43/134,0.0024621149075366,0.0163915573252558,0,0,1.7466760190164443,10.491819243261558,SHC4;SHC2;ITPR1;ADCY4;TGFA;KRT23;PIK3CD;ADCY3;CALML3;PIK3R2;CALML4;KRT42;KRT20;ADCY7;EGFR;GNAI1;GNAI2;KRT33A;KRT28;CREB3L2;AKT3;PRKACB;NCOA1;KCNJ5;GABBR1;NOS3;MMP2;KRT35;HSPA2;KRT32;KRT31;ESR2;KRT9;GNAO1;ADCY9;KRT17;KRT16;KRT15;KRT14;BCL2;RARA;PLCB1;CALM2
KEGG_2019_Mouse,Cytokine-cytokine receptor interaction,83/292,0.0024869949045215,0.0163915573252558,0,0,1.4707996939626131,8.81991534854433,CNTFR;CXCL9;CSF2;EDA;BMPR2;CSF1;AMHR2;IL23R;IL24;CXCL14;CX3CL1;IL27RA;CCL27A;CCL27B;CCR7;AMH;IL13RA1;ACVR1;IL10;IL11;TNFRSF12A;IL1R2;TNFRSF18;IL19;IL16;LIFR;OSMR;NGF;IL17RB;IL17RA;TNFRSF1A;CSF2RB2;EDAR;TNFRSF25;IL6ST;CCL11;IL20RA;IL20RB;TNFRSF11B;CSF2RB;IL2RG;IL1RL1;CCL7;CCL4;CCL2;TNFRSF14;RELT;IL11RA1;IL12RB2;GDF10;NGFR;GDF11;XCR1;GM20878;GDF15;CD70;TNFSF12;PPBP;INHBA;GDF6;BMP7;BMP6;EPOR;BMP5;IL22RA1;BMP4;GDF9;CXCL10;CXCL11;IL6;CD4;CXCL12;IL7;TNFSF4;CLCF1;LEP;IL2RB;ACKR4;TNFSF9;ACKR3;TNFSF8;INHA;IL17B
KEGG_2019_Mouse,Complement and coagulation cascades,30/88,0.0039133223193393,0.0252191882801871,0,0,1.9101237738425156,10.588520088398363,C1QB;CFH;PROS1;SERPINE1;ITGB2;C5AR1;PLAT;TFPI;C4B;SERPINA1A;SERPINA1B;VTN;C1S2;C1S1;PLAU;BDKRB2;A2M;C1RB;C1RA;SERPINB2;F12;FGG;F2R;PROCR;F8;SERPING1;MASP1;KLKB1;F2RL3;C1QC
KEGG_2019_Mouse,Gastric acid secretion,26/74,0.0044124014087937,0.0276212662407392,0,0,1.9997154854407035,10.845129383067952,CAMK2B;CHRM3;ATP1A4;ADCY4;ITPR1;ADCY3;CALML3;ATP1A2;CALML4;ATP1A1;ADCY7;GNAI1;MYLK;SLC9A1;GNAI2;PRKACB;CAMK2G;KCNJ2;PRKCG;ATP1B3;PRKCA;ATP1B2;ADCY9;PLCB1;KCNK2;CALM2
KEGG_2019_Mouse,Leukocyte transendothelial migration,37/115,0.0045039448665444,0.0276212662407392,0,0,1.752418222319072,9.467968026616449,ITGB1;NCF1;ITGB2;PIK3CD;PIK3R2;THY1;ARHGAP5;GNAI1;ICAM1;GNAI2;CLDN22;CDH5;RASSF5;CLDN24;CTNNA1;CTNNA3;PLCG1;JAM2;JAM3;PRKCG;VAV3;VCAM1;ACTN1;MMP2;CYBB;MSN;PRKCA;CLDN5;CXCL12;CLDN15;PECAM1;ESAM;MYL9;VCL;RAPGEF3;SIPA1;RAPGEF4
KEGG_2019_Mouse,Melanogenesis,33/100,0.0045717957915706,0.0276212662407392,0,0,1.8191354548014644,9.801227503129864,CAMK2B;TCF7;ADCY4;ADCY3;CALML3;FZD10;CALML4;ADCY7;GNAI1;GNAI2;WNT6;EDNRB;WNT11;CREB3L2;PRKACB;CAMK2G;PRKCG;FZD1;WNT10B;WNT10A;FZD3;TCF7L1;FZD2;FZD7;FZD9;FZD8;PRKCA;WNT9A;GNAO1;ADCY9;KITL;PLCB1;CALM2
