GeneID,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
100009600,Zglp1,18.029325832119017,-1.2129574989438534,0.363076173936095,-3.340779665584297,0.0008354349407803905,0.0017234777568014537
100034251,Wfdc17,479.30156967933823,6.4998885139369404,0.7734940693141827,8.40328164338746,4.3417172271148e-17,3.2894381059779986e-16
100034363,Tmsb15b2,5.306594701591258,-2.113795791690973,0.5727398989911937,-3.690673192864941,0.00022366134274089963,0.0005009325073259746
100034684,Cstdc5,2.7041865181227824,3.70884311926705,1.068915665719456,3.469724729659318,0.0005209920175361092,0.0011080459166837391
100036568,Gm3373,18.59247199954415,-2.9686938750285945,0.8106086901356846,-3.6623020591250715,0.00024995887849908586,0.0005560754007612358
100036571,,105.58819804877986,-3.142398490957014,0.5607793376971096,-5.603627451506244,2.0991163463753177e-08,7.697302870132421e-08
100036572,,183.03162664660604,-2.7203859222602853,0.6470259549578018,-4.204446361719301,2.617219932132659e-05,6.653215220159179e-05
100036768,Gm11696,28.562080201903132,-1.1694675560385812,0.2222286436946385,-5.262451935068872,1.4214683197370728e-07,4.765877199004947e-07
100037258,Dnajc3,3382.9620751764833,0.8798953503153476,0.20551137990125146,4.281492103931854,1.8564431193835514e-05,4.816407395787438e-05
100037283,Rnaset2a,2212.604116390162,1.4195984097128331,0.1465044315973478,9.68979841930278,3.3318562237576e-22,3.526432149926647e-21
100038347,Fam174b,457.2588219627362,3.6040021240264193,0.2986173505796257,12.068964234767128,1.540611422294141e-33,2.855115462316289e-32
100038378,Gm10433,7.3862862373364555,2.343360497430457,0.6064575855339557,3.8640138293715047,0.00011153890248537574,0.0002599777896030897
100038412,,16.231765144703637,3.5813352323966483,0.5297884242603724,6.7599348502121055,1.3805380448071421e-11,6.853022757612766e-11
100038414,,2.211758303310478,-3.4862109301781525,1.4922440842980327,-2.336220305284777,0.019479762554765183,0.031850700767470486
100038452,,2.171934365998157,-3.2938533842673823,1.055711682392848,-3.1200311971556682,0.0018083188700792833,0.00354408000011495
100038464,Gm15441,75.37330502081025,3.754432156375104,0.5651005040251168,6.643830840059262,3.056333317072258e-11,1.4760824908691082e-10
100038486,,1.8690363972754653,-3.3525402715523356,1.4750241484222208,-2.2728714476562466,0.023033927875069582,0.03710040376810159
100038494,Gm10782,6.058949565598655,-5.740262777693191,1.3784160523547457,-4.164390546589407,3.1218534381761455e-05,7.832810663902797e-05
100038496,Gm10655,12.548071073066652,-1.9410707860024314,0.4394036619455611,-4.417511627936583,9.984370084226585e-06,2.675947082122999e-05
100038498,,4.59752999346728,4.224966499183871,0.9359004847996969,4.51433305976768,6.351633139548318e-06,1.744115648414902e-05
100038525,Gm10804,1.9661505755277993,3.940392409094603,1.3138063738039611,2.999218520827915,0.0027067309830769415,0.005152082949663017
100038526,Gm16008,22.984735929148354,-1.8364570123465727,0.42947454122550416,-4.276055589014074,1.902337414846665e-05,4.926734858615194e-05
100038537,,5.014218555113946,-2.6755785253610584,0.7012188679447262,-3.8156111417868495,0.00013584629330291333,0.00031304431089905775
100038558,Gm10752,26.960437741181163,-2.955646296990228,0.34544752143659535,-8.555992194411266,1.168592075411361e-17,9.192632543279633e-17
100038560,Gm10687,41.50584243164344,-3.9676166552804384,0.5013696163211201,-7.913556238994818,2.501387645994594e-15,1.6814982458120844e-14
100038571,Gm12863,161.6203921576176,5.664316805514518,0.5882994701856706,9.628288129728942,6.073278483541912e-22,6.307867207384217e-21
