GeneID	gene_name	GSM1480291	GSM1480292	GSM1480293	GSM1480294	GSM1480295	GSM1480296	GSM1480297	GSM1480298	GSM1480299	GSM1480300	GSM1480301	GSM1480302
75302	Asxl2	908	916	980	770	510	605	983	808	776	553	679	679
75303		0	0	1	0	0	0	0	0	2	0	1	3
75304	4930563E22Rik	5	12	3	3	4	2	18	8	5	6	10	10
75305	Ankrd53	6	14	3	2	0	0	5	4	4	3	2	2
75309	4930565D16Rik	0	0	0	0	0	0	0	0	0	0	0	0
75310	4930556C24Rik	0	1	0	0	0	0	0	0	0	0	2	0
75311	4930550C14Rik	3	3	0	2	0	1	7	10	13	19	30	29
75316	Taf1d	1900	1741	1965	1736	1313	1829	2927	2183	1984	1672	1521	1496
75317	Parpbp	81	87	87	62	107	83	49	49	64	43	20	23
75320	Etnk1	4589	4785	1691	1578	1873	1929	2585	3230	2416	2505	2184	1673
75321	Grip1os2	0	0	0	0	0	0	0	0	0	0	0	0
75323	4930558J18Rik	10	8	5	2	6	5	8	6	8	9	4	4
75328	Fam243	1	1	0	0	0	0	1	0	1	2	2	0
75329	Atf7ip2	10	8	6	6	3	3	37	38	24	15	19	15
75332	4930556G01Rik	0	0	0	0	0	0	0	0	0	0	0	0
75338	Ccdc83	6	7	1	2	0	0	2	0	0	0	0	0
75339	Mphosph8	595	561	324	288	259	298	1529	1498	1350	923	946	967
75341	4930564C03Rik	0	0	0	0	0	0	1	0	0	0	0	0
75342		8	6	3	3	0	1	6	1	4	3	0	0
75345	Slamf7	0	0	0	0	0	1	0	0	5	1	2	0
75349	4930556J02Rik	0	0	0	0	0	0	0	0	0	0	0	0
75351	4930553J12Rik	0	0	0	0	0	0	0	0	0	0	1	0
75352	Magea13	0	0	0	0	0	0	0	0	0	0	0	0
75357	4930557J02Rik	0	0	1	0	0	0	0	0	0	0	0	0
75359	4930555F03Rik	0	0	0	0	0	0	0	0	0	0	0	0
75360	4930548K13Rik	0	0	0	0	0	0	0	0	0	0	0	0
75367	4930552N02Rik	0	0	0	0	0	0	0	0	0	0	0	0
75368	4930558K02Rik	0	0	0	0	0	0	1	3	0	1	0	0
75369	4930563F08Rik	0	0	0	0	0	0	0	0	0	0	0	0
75370	4930563E18Rik	0	0	0	1	0	0	0	0	1	0	0	0
75373	4930597O21Rik	16	25	14	4	5	4	22	17	30	31	22	24
75377	4930597G03Rik	0	0	0	0	0	0	0	0	0	0	0	0
75379	4930599N23Rik	10	7	3	2	2	2	11	13	12	11	14	11
75381	4930598F16Rik	0	0	0	0	0	0	0	0	0	0	0	0
75384	Lyzl4os	0	1	1	0	2	1	0	0	0	1	2	2
75387	Sirt4	110	136	90	82	77	70	122	135	165	158	161	167
75388	Boll	0	2	0	0	1	1	0	0	0	0	0	0
75394	0610040F04Rik	2	3	1	2	1	0	12	14	11	1	8	6
75396	Spp2	0	0	0	0	0	0	0	1	0	0	0	0
75398	Mrpl32	469	431	407	334	253	248	336	300	333	294	211	197
75400	Defb29	4	19	2	1	0	0	0	0	0	0	0	0
75404	Arhgap36	0	0	0	0	0	0	0	0	1	0	0	1
75406	Ndufs7	807	805	828	624	751	821	625	449	765	688	546	516
75409	Slitrk5	0	0	0	0	1	4	0	0	1	1	0	0
75410	Kmt2b	3312	3655	2890	2869	1326	1506	2507	2214	1798	1481	1258	1499
75415	Arhgap12	809	856	572	655	370	340	619	508	338	285	454	565
75416	Nop14	1448	1526	1175	1075	483	477	2092	1864	1941	1575	1227	1006
75420	Secisbp2	536	572	540	418	419	448	301	233	226	211	182	180
75422	Mettl5	180	188	151	144	83	98	196	158	171	200	171	164
75423	Arl5a	1219	1138	1300	1144	830	774	1267	1087	1101	966	906	873
75424	Zfp820	87	75	29	21	30	42	23	20	12	16	12	26
75425	Tti1	381	393	255	225	247	337	428	394	411	397	440	478
75426	Igfbpl1	7	30	1	0	0	0	14	17	12	10	4	1
75429	Cfap144	2	3	1	0	1	1	0	0	0	0	0	0
75430	Anapc15	231	286	279	250	209	274	138	145	198	150	110	124
75432	1700006F04Rik	1	0	0	0	0	0	0	0	0	0	0	0
75434	Cimip2c	0	0	0	0	0	0	0	1	0	0	0	0
75437	Cfap97d1	0	0	0	0	0	0	0	0	0	0	0	0
75439	Cypt12	0	0	0	0	0	0	0	0	0	0	0	0
75443	Fam236e	0	0	0	0	0	0	0	0	0	0	0	0
75444	Ccdc192	0	0	0	2	0	1	0	1	8	24	24	11
75452	Ascc2	1024	1092	655	623	337	369	597	514	463	405	388	345
75453	Ccdc7b	0	0	0	0	0	0	0	0	0	0	1	0
75454	Phpt1	770	954	874	782	372	392	787	858	1241	1108	662	658
75456	Prps1l1	0	0	0	2	0	0	0	0	0	0	0	0
75458	Cklf	111	121	51	39	47	36	71	73	79	75	75	67
75459	Syce3	0	0	0	0	0	1	0	0	0	0	0	0
75462	Cimip3	0	2	4	5	5	5	1	0	1	0	1	1
